Location,Longitude,Latitude
VOLUSIA AVENUE MERCURY SPILL,-81.85956931018875,27.210784715057784
MRI CORP (TAMPA),-82.35583178606613,27.96000309343356
AMERICAN CYANAMID CO,-87.09712952716367,30.573935261056207
REGENCY SQUARE SHOPPING CENTER,-81.59736041865064,30.31346362331872
SOUTHERN MILL CREEK PRODS CO INC,-82.3941482372033,27.998017177336383
AFFORDABLE TIRE FIRE,-81.30261919774158,28.70756330353818
MOTOROLA,-80.25466990900412,26.144947028734492
FLORIDA CYCLE SUPPLY COMPANY,-81.58010041618704,30.235413615469252
COLTEC INDUST./CEN. MOLONEY TRANSFORMERS,-81.86484545136888,27.211250440186845
PIER PROPERTY DRUM,-82.51666657673907,27.455004173980484
MARYLAND ASSEMBLIES INC,-83.58166916360894,30.113336166610342
STAUFFER CHEMICAL CO (TAMPA),-82.37055493693249,27.963059156492104
"AOC , LLC",-82.00971554039533,28.10083440809938
DANMARK SITE,-82.52794011840861,27.89155380052562
UNIVERSITY OF FL PENTABORANE CYLINDER,-82.3239716875035,29.65195299650554
"CORONET INDUSTRIES, INC.",-82.07838956913254,27.990896173628187
GRAPHICS PRODUCTS,-80.15884089009612,26.19437370552942
DRIFTWOOD CLEANERS,-81.3641591702215,28.62751341945705
RESPESS GRIMES ENGRAVING,-81.65215245876969,30.334600643627596
19TH AVENUE DRUMS,-80.23165151038206,25.902764065766053
PENSACOLA TAR & TURPENTINE,-87.15360416681165,30.491070401314577
A & H SALES,-82.50847027646311,28.007262748152616
JACKSONVILLE NAVAL AIR STATION,-81.68277751942887,30.22111358099397
BROWN'S DUMP,-81.68487046725507,30.364873682370394
FIRST CLEANERS,-80.34985831382862,27.4550934644786
LAKE CITY DOT LABORATORY,-82.64166900233596,30.191670083373907
CASCADE LANDFILL,-84.27916959941635,30.432503168515687
PINE ISLAND - EVERGLADES NATIONAL PARK,-80.5943330777478,25.38399221907308
PETROLEUM PRODUCTS CORP.,-80.16960129418771,25.99260387363245
